name,full_address,description,tags,opening_date,osm_last_edit,osm_last_edit_age_days,osm_first_added,google_place_id,google_first_seen,google_first_review_date,source
Tandoor,Salomonkatu 19,indian cuisine,confidence:medium;cuisine:indian;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant;takeaway:yes,,2025-09-17T10:40:47Z,141,,,,,OpenStreetMap
McDonald's,"Fredrikinkatu 48, 00100 Helsinki, FI",burger cuisine,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes,,2025-08-20T03:42:35Z,169,,,,,OpenStreetMap
Ravintola Penélope,"Mikonkatu 9, 00100 Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-09-30T14:44:29Z,128,,,,,OpenStreetMap
Kahvila Palomaja,"Pakilantie 124, 00670 Helsinki",,cafe;confidence:medium;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes,,2025-10-06T19:07:46Z,122,,,,,OpenStreetMap
Unicafe,"Gustaf Hällströmin katu 2, 00560 Helsinki",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Hesburger,"Vuotie 4, 00980 Helsinki",burger cuisine,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;fast_food;takeaway:yes,,2025-11-10T18:12:11Z,87,,,,,OpenStreetMap
Cortana express,"Meri-Rastilan kuja 2, 00980 Helsinki",pizza cuisine,confidence:medium;cuisine:pizza;restaurant,,2025-11-09T20:54:18Z,88,,,,,OpenStreetMap
Rolls Express Itäväylä,"Linnavuorentie 30, 00950 Helsinki",burger cuisine,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;restaurant,,2025-11-22T09:38:57Z,75,,,,,OpenStreetMap
Happy Food Garden,"Kalevankatu, 00100 Helsinki, FI",chinese cuisine,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant,,2025-09-18T17:08:43Z,140,,,,,OpenStreetMap
Lumi,"Miina Sillanpään katu 8, Helsinki, FI",japanese cuisine,confidence:medium;cuisine:japanese;restaurant,,2026-01-28T12:45:51Z,8,,,,,OpenStreetMap
Yamy Bar,,"pizza, burger, indian cuisine",confidence:medium;cuisine:burger;cuisine:indian;cuisine:pizza;restaurant,,2026-01-28T12:45:51Z,8,,,,,OpenStreetMap
